d:\developer\workspace\ProjetosMEAN_Stack\teste2\myapp>node app.js
Express server listening on port 3000
GET /socket.io/?EIO=3&transport=polling&t=LW8FMCq 404 14.307 ms - 1496
GET /socket.io/?EIO=3&transport=polling&t=LW8FNRZ 404 13.876 ms - 1496
GET /socket.io/?EIO=3&transport=polling&t=LW8FOg5 404 16.619 ms - 1496
GET /socket.io/?EIO=3&transport=polling&t=LW8FPul 404 11.033 ms - 1496
GET /socket.io/?EIO=3&transport=polling&t=LW8FR7H 404 18.128 ms - 1496
GET /socket.io/?EIO=3&transport=polling&t=LW8FSMB 404 16.105 ms - 1496
GET /socket.io/?EIO=3&transport=polling&t=LW8FTam 404 24.576 ms - 1496
GET /socket.io/?EIO=3&transport=polling&t=LW8FUpa 404 13.729 ms - 1496
GET /socket.io/?EIO=3&transport=polling&t=LW8FW2E 404 16.405 ms - 1496
GET /socket.io/?EIO=3&transport=polling&t=LW8FXGv 404 14.417 ms - 1496
^C
d:\developer\workspace\ProjetosMEAN_Stack\teste2\myapp>node app.js
Express server listening on port 3000
GET /socket.io/?EIO=3&transport=polling&t=LW8FaCu 404 887.190 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Fc9K 404 89.652 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FdP4 404 105.506 ms - 1220
GET / 304 16.814 ms - -
GET /javascripts/socket.io/socket.io.js 304 4.895 ms - -
GET /socket.io/?EIO=3&transport=polling&t=LW8Fdy- 404 54.018 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FeGc 404 42.518 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FeZ6 404 23.932 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Ff81 404 134.555 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FgP1 404 188.024 ms - 1220
GET / 304 6.056 ms - -
GET /javascripts/socket.io/socket.io.js 304 2.178 ms - -
GET /socket.io/?EIO=3&transport=polling&t=LW8FhVI 404 120.341 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FhlH 404 168.905 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Fi3w 404 136.213 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Fj9c 404 195.304 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FkS3 404 67.771 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Flhj 404 149.890 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FmyZ 404 28.040 ms - 1220
GET /? 200 13.194 ms - 909
GET /javascripts/socket.io/socket.io.js 304 4.752 ms - -
GET /socket.io/?EIO=3&transport=polling&t=LW8Fo9o 404 44.073 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FoMp 404 47.370 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Foyg 404 19.286 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FqBJ 404 30.299 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FrQB 404 19.334 ms - 1220
GET / 304 2.028 ms - -
GET /javascripts/socket.io/socket.io.js 304 3.742 ms - -
GET /socket.io/?EIO=3&transport=polling&t=LW8Fsqk 404 42.555 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Ft22 404 17.983 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FtNS 404 23.337 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FuSc 404 22.567 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Fvdq 404 19.687 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Fwsf 404 27.589 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Fy5Z 404 19.185 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8FzKH 404 31.635 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8F-Z4 404 15.053 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8F_nb 404 21.828 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8G10H 404 21.304 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8G2Ez 404 15.088 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8G3TX 404 31.636 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8G4iN 404 14.584 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8G5w- 404 15.219 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8G79d 404 17.443 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8G8OF 404 16.673 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8G9cv 404 23.030 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GAs9 404 19.687 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GC4r 404 62.945 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GDKA 404 24.641 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GEYy 404 15.288 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GFnX 404 19.605 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GH0C 404 48.325 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GIFX 404 22.443 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GJUC 404 26.877 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GKiy 404 10.554 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GMeK 404 15.942 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GNst 404 17.705 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GP5U 404 27.771 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GQKC 404 18.300 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GRYn 404 15.180 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GSnL 404 16.537 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GT_y 404 12.264 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GVEV 404 17.046 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GWTF 404 14.568 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GXhp 404 17.459 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GYwx 404 10.602 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Ga99 404 18.155 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GbNm 404 21.216 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GccV 404 15.165 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GdrK 404 14.976 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Gf3r 404 21.026 ms - 1496
GET /socket.io/?EIO=3&transport=polling&t=LW8GgIb 404 16.322 ms - 1496
